,name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size,fixed-ingredient-1,fixed-measurement-1,fixed-ingredient-2,fixed-measurement-2,fixed-ingredient-3,fixed-measurement-3,fixed-ingredient-4,fixed-measurement-4,fixed-ingredient-5,fixed-measurement-5,fixed-ingredient-6,fixed-measurement-6,fixed-instructions,blend,shake,stir-strain,build,no-measurement,total-liquid,alco-pop,beer,bitters,brandy,citrus juice,citrus spirit,cream spirit,dessert spirit,egg,flavoured water,floral spirit,fortified wine,fruit juice,fruit spirit,gin,herbal spirit,milk,rum,sauce,soda,sparkling wine,syrup,tea,tequila,water,vodka,whisky,wine,glass-total,total-alcohol,total-ingredients,alco-percent
608,Three Miller Cocktail,Rum - Daiquiris,3 oz, Fresh cherry tomatoes,2 oz, Dark rum,1 oz, Fresh Lime Juice,1 oz, Simple Syrup,1 oz, Angostura Bitters,,,Muddle tomatoes in mixing glass. Add remaining ingredients. Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,fresh cherry tomatoes,3 oz,dark rum,2 oz,fresh lime juice,1 oz,simple syrup,1 oz,angostura bitters,1 dash,,,muddle tomatoes in mixing glass. add remaining ingredients. shake with ice and strain into chilled cocktail glass.,False,True,False,False,,122.0,0.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,62.0,4,0.5081967213114754
609,Bird-of-Paradise Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1 oz, Egg White,1 oz, Grenadine,2 oz, Gin,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water.,Highball Glass,7 to 10 ounces,juice of a lemon,1/2 oz,powdered sugar,1 oz,egg white,1 oz,grenadine,1 oz,gin,2 oz,,,shake with ice and strain into highball glass over two ice cubes. fill with carbonated water.,False,True,False,False,,135.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,60.0,4,0.4444444444444444
610,Biffy Cocktail,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Swedish Punch,1 1/2 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,juice of a lemon,1/2 oz,herbal spirit,1 oz,gin,1 1/2 oz,,,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,90.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,60.0,3,0.6666666666666666
611,Between-The-Sheets Cocktail,Cocktail Classics,1/4 oz, Juice of a Lemon,1/2 oz, Brandy,1/2 oz, Triple Sec,1/2 oz, Light Rum,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,juice of a lemon,1/4 oz,brandy,1/2 oz,orange liqueur,1/2 oz,light rum,1/2 oz,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,52.5,0.0,0.0,0.0,15.0,7.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,37.5,4,0.7142857142857143
612,Third-Rail Cocktail,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Apple Brandy,3/4 oz, Brandy,1/4 oz, Anisette,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,light rum,3/4 oz,apple brandy,3/4 oz,brandy,3/4 oz,herbal spirit,1/4 oz,,,,,shake with ice and strain into chilled cocktail glass.,False,True,False,False,,75.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,7.5,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,60.0,4,0.8
613,Bentley,Cocktail Classics,1 1/2 oz, Apple Brandy,1 oz, Dubonnet,,,,,,,,,Stir with cracked ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces,apple brandy,1 1/2 oz,herbal spirit,1 oz,,,,,,,,,stir with cracked ice and strain into cocktail glass. add a twist of lemon peel.,False,False,True,False,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,37.5,2,0.5
614,Tahiti Club,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Fresh lemon juice,1/2 oz, Fresh Lime Juice,1/2 oz, Pineapple Juice,1/4 oz, Maraschino liqueur,, Lemon wheel,Shake with ice and strain into ice-filled old-fashioned glass. Add lemon.,Old-Fashioned Glass,6 to 8 ounces,light rum,2 oz,fresh lemon juice,1/2 oz,fresh lime juice,1/2 oz,pineapple juice,1/2 oz,maraschino liqueur,1/4 oz,lemon wheel,,shake with ice and strain into ice-filled old-fashioned glass. add lemon.,False,True,False,False,,112.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.5,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,63.75,4,0.5666666666666667
615,Barton Special,Cocktail Classics,1/2 oz, Applejack,1/4 oz, Scotch,1/4 oz, Gin,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces,apple brandy,1/2 oz,scotch,1/4 oz,gin,1/4 oz,,,,,,,shake with ice and strain into old-fashioned glass over ice cubes.,False,True,False,False,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,210.0,22.5,3,0.75
616,Barnaby's Buffalo Blizzard,Cocktail Classics,1 oz, White creme de cacao,3/4 oz, Vodka,1 oz, Galliano,, Vanilla Ice Cream,1 oz, Grenadine, Whipped cream and 3/4 oz, Whipped cream and 3/4 oz,Shake or blend. Serve in a collins glass.,Collins Glass,14 to 16 ounces,white dessert liqueur,1 oz,vodka,3/4 oz,herbal spirit,1 oz,vanilla ice cream,,grenadine,1 oz,"whipped cream,3/4 oz",whipped cream and 3/4 oz,shake or blend. serve in a collins glass.,True,True,False,False,milk,337.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,225.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,22.5,0.0,0.0,450.0,52.5,5,0.15555555555555556
617,Susie Taylor,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Fresh Lime Juice,, Ginger ale,,,,,,,Pour rum and lime juice into ice-filled Collins glass. Fill with ginger ale and stir.,Collins Glass,14 to 16 ounces,light rum,2 oz,fresh lime juice,1/2 oz,soda,,,,,,,,pour rum and lime juice into ice-filled collins glass. fill with ginger ale and stir.,False,False,False,True,soda,337.5,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,262.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,60.0,3,0.17777777777777778
618,Baltimore Bracer,Cocktail Classics,1 oz, Anisette,1 oz, Brandy,1 oz, Egg White,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,herbal spirit,1 oz,brandy,1 oz,egg white,1 oz,,,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,90.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,45.0,3,0.5
619,Bachelor's Bait Cocktail,Cocktail Classics,1 1/2 oz, Gin,1 oz, Egg White,1 oz, Orange Bitters,1/2 oz, Grenadine,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,gin,1 1/2 oz,egg white,1 oz,orange bitters,1 dash,grenadine,1/2 oz,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,92.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,47.0,4,0.5108695652173914
620,Bushranger,Cocktail Classics,1 1/2 oz, Light Rum,1 oz, Dubonnet,1 oz, Bitters,,,,,,,Stir with cracked ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,light rum,1 1/2 oz,herbal spirit,1 oz,bitters,1 dash,,,,,,,stir with cracked ice and strain into cocktail glass.,False,False,True,False,,77.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,62.0,3,0.8051948051948052
621,Sunset at Gowanus,Rum - Daiquiris,2 oz, Dark rum,3/4 oz, Fresh Lime Juice,1/2 oz, Maple Syrup,1/4 oz, Brandy,1/4 oz, Yellow Chartreuse,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,dark rum,2 oz,fresh lime juice,3/4 oz,maple syrup,1/2 oz,brandy,1/4 oz,yellow herbal spirit,1/4 oz,,,shake with ice and strain into chilled cocktail glass.,False,True,False,False,,112.5,0.0,0.0,0.0,7.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,60.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,71.25,5,0.6333333333333333
622,Bulldog Highballl,Cocktail Classics,1/2 oz, Juice of Orange,2 oz, Gin,,,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7 to 10 ounces,juice of orange,1/2 oz,gin,2 oz,,,,,,,,,pour into highball glass over ice cubes and fill with ginger ale. stir.,False,False,False,True,,75.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,60.0,2,0.8
623,Bucks Fizz (Mimosa),Cocktail Classics,2 oz, Orange Juice,, Chilled Champagne,,,,,,,,,"Pour 2 oz. orange juice in a collins glass over two cubes of ice, fill with Chilled Champagne, and stir very gently.",Collins Glass,14 to 16 ounces,orange juice,2 oz,chilled champagne,,,,,,,,,,"pour 2 oz. orange juice in a collins glass over two cubes of ice, fill with chilled champagne, and stir very gently.",False,False,False,True,sparkling wine,337.5,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,69.375,2,0.20555555555555555
624,Buckjones,Cocktail Classics,1 1/2 oz, Light Rum,1 oz, Sweet Sherry,1/2 oz, Juice of a Lime,,,,,,,Pour ingredients into highball glass over ice cubes and stir. Fill with ginger ale.,Highball Glass,7 to 10 ounces,light rum,1 1/2 oz,sweet sherry,1 oz,juice of a lime,1/2 oz,,,,,,,pour ingredients into highball glass over ice cubes and stir. fill with ginger ale.,False,False,False,True,,90.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,75.0,3,0.8333333333333334
625,Stormy Colada,Rum - Daiquiris,2 oz, Dark rum,2 oz, Pineapple Juice,, Ginger beer,," Skewered pineapple wedge, mint sprig, candied ginger slice",,,,,Add rum and pineapple juice to ice-filled highball glass. Fill with ginger beer and stir. Add skewered garnish.,Highball Glass,7 to 10 ounces,dark rum,2 oz,pineapple juice,2 oz,soda,,"skewered pineapple wedge, mint sprig, candied ginger slice",,,,,,add rum and pineapple juice to ice-filled highball glass. fill with ginger beer and stir. add skewered garnish.,False,False,False,True,soda,191.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,60.0,0.0,71.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,60.0,3,0.3137254901960784
626,Bronx SIlver Cocktail,Cocktail Classics,1/2 oz, Juice of Orange,1 oz, Egg White,1/2 oz, Dry Vermouth,1 oz, Gin,,,,,Shake with ice and strain into sour glass.,Sour Glass,5 to 6 ounces,juice of orange,1/2 oz,egg white,1 oz,dry vermouth,1/2 oz,gin,1 oz,,,,,shake with ice and strain into sour glass.,False,True,False,False,,90.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,30.0,0.0,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,45.0,4,0.5
627,Bronx Golden Cocktail,Cocktail Classics,1 oz, Gin,1/2 oz, Sweet Vermouth,1/2 oz, Dry Vermouth,1/4 oz, Orange,,,,,Same as Bronx Cocktail with the addition of one egg yolk. Use sour glass.,Sour Glass,5 to 6 ounces,gin,1 oz,sweet vermouth,1/2 oz,dry vermouth,1/2 oz,orange,1/4 oz,,,,,same as bronx cocktail with the addition of one egg yolk. use sour glass.,False,False,False,True,,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,60.0,2,1.0
628,Stone Wall,Rum - Daiquiris,3 slices,thin Peeled fresh ginger,3/4 oz, Demerara Syrup,1 1/2 oz, Fresh apple cider,1 1/2 oz, Light Rum,, Jamaican ginger beer,," Green apple slice, lime wedge",Muddle ginger and syrup in mixing glass. Add cider and rum and shake with ice. Strain into ice-filled old-fashioned glass and fill with ginger beer. Add apple and lime.,Old-Fashioned Glass,6 to 8 ounces,thin peeled fresh ginger,3 slices,demerara syrup,3/4 oz,fresh apple cider,1 1/2 oz,light rum,1 1/2 oz,jamaican soda,,"green apple slice, lime wedge",,muddle ginger and syrup in mixing glass. add cider and rum and shake with ice. strain into ice-filled old-fashioned glass and fill with ginger beer. add apple and lime.,False,True,False,False,soda,157.5,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,210.0,50.625,4,0.32142857142857145
629,Depth Bomb,Brandy,1 oz, Apple Brandy,1 oz, Brandy,1 oz, Fresh lemon juice,1 oz, Grenadine,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces,apple brandy,1 oz,brandy,1 oz,fresh lemon juice,1 oz,grenadine,1 oz,,,,,shake with ice and strain into ice-filled old-fashioned glass.,False,True,False,False,,120.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,45.0,4,0.375
630,Stone Cocktail,Rum - Daiquiris,1 oz, Dry Sherry,1/2 oz, Light Rum,1/2 oz, Sweet Vermouth,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,dry sherry,1 oz,light rum,1/2 oz,sweet vermouth,1/2 oz,,,,,,,stir with ice and strain into chilled cocktail glass.,False,False,True,False,,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,60.0,2,1.0
631,Almeria,Cocktail Classics,1 1/2 oz, 17-year-old J. Wray and Nephew Ltd. Rum,1 oz, Coffee-flavored liqueur,1 oz, Egg White,,,,,,,Shake all ingredients with cracked ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,17-year-old j. over-proof rum ltd. rum,1 1/2 oz,coffee-flavored liqueur,1 oz,egg white,1 oz,,,,,,,shake all ingredients with cracked ice and strain into cocktail glass.,False,True,False,False,,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,60.0,3,0.5714285714285714
632,Aunt Jemima,Cocktail Classics,1/2 oz, Brandy,1/2 oz, White creme de cacao,1/2 oz, Benedictine,,,,,,,"Pour carefully, in order given, into a pousse-cafe glass so that ingredients do not mix.",Pousse-Cafe_ Glass, 1 _  ounces,brandy,1/2 oz,white dessert liqueur,1/2 oz,herbal spirit,1/2 oz,,,,,,,"pour carefully, in order given, into a pousse-cafe glass so that ingredients do not mix.",False,False,False,True,,30.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,3,0.6666666666666666
633,Spanish Town Cocktail,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Triple Sec,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,light rum,2 oz,orange liqueur,1/2 oz,,,,,,,,,stir with ice and strain into chilled cocktail glass.,False,False,True,False,,75.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,67.5,2,0.9
634,Apricot Lady,Cocktail Classics,1 1/4 oz, Light Rum,1 oz, Apricot-Flavored Brandy,1/4 oz, Triple Sec,1 oz, Lime Juice,1 oz, Egg White,,,Shake all ingredients with ice and strain into old-fashioned glass over ice cubes. Add an orange slice.,Old-Fashioned Glass,6 to 8 ounces,light rum,1 1/4 oz,apricot-flavored brandy,1 oz,orange liqueur,1/4 oz,lime juice,1 oz,egg white,1 oz,,,shake all ingredients with ice and strain into old-fashioned glass over ice cubes. add an orange slice.,False,True,False,False,,135.0,0.0,0.0,0.0,0.0,30.0,7.5,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,56.25,5,0.4166666666666667
635,Apricot Anise Collins,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Apricot-Flavored Brandy,1 1/2 oz, Anisette,1 oz, Lemon Juice,,,,,Shake with ice and strain into Collins glass over ice. Fill with carbonated water and stir lightly. Garnish with a slice of lemon.,Collins Glass,14 to 16 ounces,gin,1 1/2 oz,apricot-flavored brandy,1/2 oz,herbal spirit,1 1/2 oz,lemon juice,1 oz,,,,,shake with ice and strain into collins glass over ice. fill with carbonated water and stir lightly. garnish with a slice of lemon.,False,True,False,False,,135.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,75.0,4,0.5555555555555556
636,Apple Rum Rickey,Cocktail Classics,3/4 oz, Applejack,3/4 oz, Light Rum,1/4 oz, Lime,,,,,,,Pour applejack and rum into highball glass over ice cubes. Fill with carbonated water. Squeeze lime and drop into glass. Stir.,Highball Glass,7 to 10 ounces,apple brandy,3/4 oz,light rum,3/4 oz,lime,1/4 oz,,,,,,,pour applejack and rum into highball glass over ice cubes. fill with carbonated water. squeeze lime and drop into glass. stir.,False,False,False,True,,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,33.75,2,0.75
637,Sloppy Joe's Cocktail No. 1,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Dry Vermouth,1/2 oz, Triple Sec,1 oz, Fresh Lime Juice,1/2 oz, Grenadine,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,light rum,3/4 oz,dry vermouth,3/4 oz,orange liqueur,1/2 oz,fresh lime juice,1 oz,grenadine,1/2 oz,,,shake with ice and strain into chilled cocktail glass.,False,True,False,False,,105.0,0.0,0.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,52.5,5,0.5
638,Applejack Punch,Cocktail Classics,1 3/4 oz,Applejack,4 oz, Grenadine,16 oz, Orange Juice,,64 Ginger ale,,,1 oz, Whole Egg,Combine first three ingredients in punch bowl with large block of ice. Add ginger ale and slices of apple.,Punch Cup,3 to 4 ounces,apple brandy,1 3/4 oz,grenadine,4 oz,orange juice,16 oz,64 soda,,,,whole egg,1 oz,combine first three ingredients in punch bowl with large block of ice. add ginger ale and slices of apple.,False,False,False,True,soda,105.0,0.0,0.0,0.0,0.0,73.84615384615384,0.0,0.0,0.0,4.615384615384615,0.0,0.0,0.0,0.0,8.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.46153846153846,0.0,0.0,0.0,0.0,0.0,0.0,105.0,4.038461538461538,4,0.038461538461538464
639,Brandy Flip,Cocktail Classics,1,Whole Egg,1 oz, Powdered Sugar,1 1/2 oz, Brandy,2 oz, Light Cream (if desired),,,,,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces,whole egg,1,powdered sugar,1 oz,brandy,1 1/2 oz,light cream (if desired),2 oz,,,,,shake with ice and strain into sour glass. sprinkle a little nutmeg on top.,False,True,False,False,,150.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,45.0,3,0.3
640,Sir Walter Cocktail,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Brandy,1 oz, Grenadine,1 oz, Triple Sec,1 oz, Fresh lemon juice,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,light rum,3/4 oz,brandy,3/4 oz,grenadine,1 oz,orange liqueur,1 oz,fresh lemon juice,1 oz,,,shake with ice and strain into chilled cocktail glass.,False,True,False,False,,135.0,0.0,0.0,0.0,22.5,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,60.0,5,0.4444444444444444
641,Saxon Cocktail,Rum - Daiquiris,1 3/4 oz, Light Rum,1/2 oz, Fresh Lime Juice,1/2 oz, Grenadine,, Orange twist,,,,,Shake with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces,light rum,1 3/4 oz,fresh lime juice,1/2 oz,grenadine,1/2 oz,orange twist,,,,,,shake with ice and strain into chilled cocktail glass. add orange twist.,False,True,False,False,,82.5,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,52.5,3,0.6363636363636364
642,Boston Bullet,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Dry Vermouth,,,,,,,,,A Martini substituting an olive stuffed with an almond for the regular olive. See Martini on page 130.,Cocktail Glass,6 or more ounces,gin,1 1/2 oz,dry vermouth,3/4 oz,,,,,,,,,a martini substituting an olive stuffed with an almond for the regular olive. see martini on page 130.,False,False,True,False,,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,67.5,2,1.0
643,Sargasso,Rum - Daiquiris,2 oz, Aged rhum agricole,3/4 oz, Dry Sherry,1/2 oz, Aperol,2 oz, Angostura Bitters,, Orange twist,,,Stir with ice and strain into chilled cocktail glass. Garnish with orange twist.,Cocktail Glass,6 or more ounces,aged rhum agricole,2 oz,dry sherry,3/4 oz,herbal spirit,1/2 oz,angostura bitters,2 dash,orange twist,,,,stir with ice and strain into chilled cocktail glass. garnish with orange twist.,False,False,True,False,,101.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,15.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,94.0,4,0.9261083743842364
644,Santiago Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,1/2 oz, Grenadine,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,light rum,1 1/2 oz,fresh lime juice,1 oz,simple syrup,1/2 oz,grenadine,1/2 oz,,,,,shake with ice and strain into chilled cocktail glass.,False,True,False,False,,105.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,45.0,3,0.42857142857142855
645,Black Velvet,Cocktail Classics,5 oz, Chilled Stout,5 oz, Chilled Champagne,,,,,,,,,"Pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix. ",Champagne Flute,6 to 8 ounces,chilled stout,5 oz,chilled champagne,5 oz,,,,,,,,,"pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix.",False,False,False,True,,210.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,39.375,2,0.1875
