,name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size,fixed-ingredient-1,fixed-measurement-1,fixed-ingredient-2,fixed-measurement-2,fixed-ingredient-3,fixed-measurement-3,fixed-ingredient-4,fixed-measurement-4,fixed-ingredient-5,fixed-measurement-5,fixed-ingredient-6,fixed-measurement-6,fixed-instructions,blend,shake,stir-strain,build,no-measurement,total-liquid,alco-pop,beer,bitters,brandy,citrus juice,citrus spirit,cream spirit,dessert spirit,egg,flavoured water,floral spirit,fortified wine,fruit juice,fruit spirit,gin,herbal spirit,milk,rum,sauce,soda,sparkling wine,syrup,tea,tequila,water,vodka,whisky,wine,glass-total,total-alcohol,total-ingredients,alco-percent
211,Irish Whisky ,Cocktail Classics,1/2 oz, Mr. Boston Triple Sec,1/2 oz, Absinthe Substitute,1/4 oz, Maraschino,1 oz, Bitters,2 oz, Irish Whiskey,,,Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Glass,6 or more ounces,mr. boston orange liqueur,1/2 oz,herbal spirit substitute,1/2 oz,maraschino liqueur,1/4 oz,bitters,1 dash,irish whiskey,2 oz,,,stir with ice and strain into cocktail glass. serve with an olive.,False,False,True,False,,99.5,0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,180.0,80.75,5,0.8115577889447236
212,Dubliner,Whiskies,2 oz, Irish Whiskey,1/2 oz, Sweet Vermouth,1/2 oz, Grand Marnier,2 oz, Orange Bitters,," Orange twist, flamed",,,Stir with ice and strain into chilled cocktail glass. Flame orange twist and add.,Cocktail Glass,6 or more ounces,irish whiskey,2 oz,sweet vermouth,1/2 oz,orange brandy,1/2 oz,orange bitters,2 dash,"orange twist, flamed",,,,stir with ice and strain into chilled cocktail glass. flame orange twist and add.,False,False,True,False,,94.0,0.0,0.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,180.0,86.5,4,0.9202127659574468
213,Double Standard Sour,Whiskies,3/4 oz, Rye or bourbon whiskey,3/4 oz, Gin,1 oz, Fresh lemon juice,1/2 oz, White creme de menthe,1/2 oz, Grenadine,1/4 oz, Simple Syrup,Shake with ice and strain into chilled cocktail glass. Garnish with lemon and cherry.,Cocktail Glass,6 or more ounces,rye,3/4 oz,gin,3/4 oz,fresh lemon juice,1 oz,white creme de menthe,1/2 oz,grenadine,1/2 oz,simple syrup,1/4 oz,shake with ice and strain into chilled cocktail glass. garnish with lemon and cherry.,False,True,False,False,,90.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,15.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,180.0,30.0,4,0.3333333333333333
214,Dixie Whiskey Cocktail,Whiskies,2 oz, Bourbon whiskey,1/2 oz, White creme de menthe,1/2 oz, Triple Sec,1/4 oz, Simple Syrup,1 oz, Angostura Bitters,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,bourbon whiskey,2 oz,white creme de menthe,1/2 oz,orange liqueur,1/2 oz,simple syrup,1/4 oz,angostura bitters,1 dash,,,shake with ice and strain into chilled cocktail glass.,False,True,False,False,,99.5,0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,60.0,0.0,180.0,77.0,5,0.7738693467336684
215,Hill Billy Highball,Cocktail Classics,2 oz, Georgia Moon Corn Whiskey,, Mountain Dew,,,,,,,,,"Pour into highball glass over ice cubes, add a twist of lemon peel, and stir.",Highball Glass,7 to 10 ounces,georgia moon corn whiskey,2 oz,soda,,,,,,,,,,"pour into highball glass over ice cubes, add a twist of lemon peel, and stir.",False,False,False,True,soda,191.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.25,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,255.0,60.0,2,0.3137254901960784
216,The Titian,Vodka,1 oz, Orange-flavored vodka,1/2 oz, Grand Marnier,1 oz, Passion Fruit Juice,1/2 oz, Fresh Lime Juice,1/2 oz, Pomegranate syrup,, Fresh raspberry,Shake with ice and strain into chilled cocktail glass. Garnish with raspberry.,Cocktail Glass,6 or more ounces,orange-flavored vodka,1 oz,orange brandy,1/2 oz,passion fruit juice,1 oz,fresh lime juice,1/2 oz,pomegranate syrup,1/2 oz,fresh raspberry,,shake with ice and strain into chilled cocktail glass. garnish with raspberry.,False,True,False,False,,105.0,0.0,0.0,0.0,0.0,15.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,22.5,4,0.21428571428571427
217,Tiger Tanaka,Vodka,3 oz, Fresh cilantro leaves,1 oz, Slice peeled fresh ginger,2 oz, Citrus-flavored vodka,1/2 oz, Limoncello,3/4 oz, Pineapple Juice,,,Muddle cilantro and ginger in mixing glass. Add remaining ingredients and shake. Double-strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,fresh cilantro leaves,3 oz,slice peeled fresh ginger,1 oz,citrus-flavored vodka,2 oz,citrus liqueur,1/2 oz,pineapple juice,3/4 oz,,,muddle cilantro and ginger in mixing glass. add remaining ingredients and shake. double-strain into chilled cocktail glass.,False,True,False,False,,97.5,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,37.5,2,0.38461538461538464
218,Grenadine Rickey,Cocktail Classics,1/2 oz, Juice of a Lime,1 1/2 oz, Grenadine,,,,,,,,,Pour into highball glass over ice cubes and fill with carbonated water. Stir. Put a slice of lime in glass.,Highball Glass,7 to 10 ounces,juice of a lime,1/2 oz,grenadine,1 1/2 oz,,,,,,,,,pour into highball glass over ice cubes and fill with carbonated water. stir. put a slice of lime in glass.,False,False,False,True,,60.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,2,0.0
219,Thyme Collins,Vodka,2 oz, Citrus-flavored vodka,1 oz, Mint syrup,1 oz, Fresh lemon juice,1 oz, Thyme sprig,3 oz, Bitter lemon soda,2 oz, Long thyme sprigs,"Put first four ingredients in mixing glass, add ice, and shake well. Strain into ice-filled Collins glass. Top with bitter lemon soda and stir briefly. Garnish with long thyme sprigs.",Collins Glass,14 to 16 ounces,citrus-flavored vodka,2 oz,mint syrup,1 oz,fresh lemon juice,1 oz,thyme sprig,1 oz,bitter lemon soda,3 oz,long thyme sprigs,2 oz,"put first four ingredients in mixing glass, add ice, and shake well. strain into ice-filled collins glass. top with bitter lemon soda and stir briefly. garnish with long thyme sprigs.",False,True,False,False,,210.0,0.0,0.0,0.0,0.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,30.0,4,0.14285714285714285
220,Tabby Cat,Vodka,2 oz, Dubonnet Rouge,1 oz, Orange-flavored vodka,2 oz, Orange Bitters,, Lemon twist,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces,herbal spirit rouge,2 oz,orange-flavored vodka,1 oz,orange bitters,2 dash,lemon twist,,,,,,stir with ice and strain into chilled cocktail glass. add lemon twist.,False,False,True,False,,94.0,0.0,0.0,4.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,49.0,3,0.5212765957446809
221,God Child,Cocktail Classics,1 oz, Amaretto di Saronno,1 oz, Mr. Boston Vodka,1 oz, Heavy cream,,,,,,,Shake well with cracked ice. Strain and serve in a champagne glass.,Champagne Flute,6 to 8 ounces,almond liqueur di saronno,1 oz,mr. boston vodka,1 oz,heavy cream,1 oz,,,,,,,shake well with cracked ice. strain and serve in a champagne glass.,False,True,False,False,,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,210.0,45.0,3,0.5
222,Sweet Maria,Vodka,1 oz, Vodka,1/2 oz, Amaretto,1/2 oz, half-and-half,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,vodka,1 oz,almond liqueur,1/2 oz,half-and-half,1/2 oz,,,,,,,shake with ice and strain into chilled cocktail glass.,False,True,False,False,,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,180.0,37.5,3,0.625
223,Dirty Harry,Whiskies,1 oz, Absinthe,2 oz, Straight rye whiskey,1/2 oz, Sweet Vermouth,1/4 oz, Maraschino liqueur,, Maraschino cherry,,,Swirl absinthe in chilled cocktail glass to coat inside; discard excess absinthe. Stir remaining ingredients with ice and strain into glass. Garnish with cherry.,Cocktail Glass,6 or more ounces,herbal spirit,1 oz,straight rye whiskey,2 oz,sweet vermouth,1/2 oz,maraschino liqueur,1/4 oz,maraschino cherry,,,,swirl absinthe in chilled cocktail glass to coat inside; discard excess absinthe. stir remaining ingredients with ice and strain into glass. garnish with cherry.,False,False,True,False,,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,7.5,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,180.0,93.75,4,0.8333333333333334
